zone_id,model,gp_id,x_m,z_m,disp_x_m,disp_z_m,stress_xx_Pa,stress_zz_Pa,stress_xz_Pa,state
1,null,1,-17,-44.35,0.07397368825,-0.05062571349,0,0,0,0
1,null,2,-12.75,-44.35,0.04604134989,-0.03874077493,0,0,0,0
1,null,4,-17,-36.95833333,0.1411965957,-0.003866953269,0,0,0,0
1,null,7,-12.75,-36.95833333,0,0,0,0,0,0
2,null,2,-12.75,-44.35,0.04604134989,-0.03874077493,0,0,0,0
2,null,9,-8.5,-44.35,0.01894591837,-0.04829329229,0,0,0,0
2,null,7,-12.75,-36.95833333,0,0,0,0,0,0
2,null,11,-8.5,-36.95833333,0,0,0,0,0,0
3,null,9,-8.5,-44.35,0.01894591837,-0.04829329229,0,0,0,0
3,null,13,-4.25,-44.35,-0.009300647497,-0.06254828943,0,0,0,0
3,null,11,-8.5,-36.95833333,0,0,0,0,0,0
3,null,15,-4.25,-36.95833333,0,0,0,0,0,0
4,null,13,-4.25,-44.35,-0.009300647497,-0.06254828943,0,0,0,0
4,null,17,0,-44.35,-0.03678950718,-0.07933319094,0,0,0,0
4,null,15,-4.25,-36.95833333,0,0,0,0,0,0
4,null,19,0,-36.95833333,0,0,0,0,0,0
5,null,17,0,-44.35,-0.03678950718,-0.07933319094,0,0,0,0
5,null,21,4.25,-44.35,-0.06244323586,-0.09499223651,0,0,0,0
5,null,19,0,-36.95833333,0,0,0,0,0,0
5,null,23,4.25,-36.95833333,0,0,0,0,0,0
6,null,21,4.25,-44.35,-0.06244323586,-0.09499223651,0,0,0,0
6,null,25,8.5,-44.35,-0.08593691573,-0.1094094531,0,0,0,0
6,null,23,4.25,-36.95833333,0,0,0,0,0,0
6,null,27,8.5,-36.95833333,0,0,0,0,0,0
7,null,25,8.5,-44.35,-0.08593691573,-0.1094094531,0,0,0,0
7,null,29,12.75,-44.35,-0.1081894019,-0.1185370245,0,0,0,0
7,null,27,8.5,-36.95833333,0,0,0,0,0,0
7,null,31,12.75,-36.95833333,0,0,0,0,0,0
8,null,29,12.75,-44.35,-0.1081894019,-0.1185370245,0,0,0,0
8,null,33,17,-44.35,-0.1305750735,-0.1401580607,0,0,0,0
8,null,31,12.75,-36.95833333,0,0,0,0,0,0
8,null,35,17,-36.95833333,-0.1724013137,-0.1515398448,0,0,0,0
9,null,4,-17,-36.95833333,0.1411965957,-0.003866953269,0,0,0,0
9,null,7,-12.75,-36.95833333,0,0,0,0,0,0
9,null,37,-17,-29.56666667,0.1960928746,0.04539781945,0,0,0,0
9,null,39,-12.75,-29.56666667,0,0,0,0,0,0
10,null,7,-12.75,-36.95833333,0,0,0,0,0,0
10,null,11,-8.5,-36.95833333,0,0,0,0,0,0
10,null,39,-12.75,-29.56666667,0,0,0,0,0,0
10,null,41,-8.5,-29.56666667,0,0,0,0,0,0
11,null,11,-8.5,-36.95833333,0,0,0,0,0,0
11,null,15,-4.25,-36.95833333,0,0,0,0,0,0
11,null,41,-8.5,-29.56666667,0,0,0,0,0,0
11,null,43,-4.25,-29.56666667,0,0,0,0,0,0
12,null,15,-4.25,-36.95833333,0,0,0,0,0,0
12,null,19,0,-36.95833333,0,0,0,0,0,0
12,null,43,-4.25,-29.56666667,0,0,0,0,0,0
12,null,45,0,-29.56666667,0,0,0,0,0,0
13,null,19,0,-36.95833333,0,0,0,0,0,0
13,null,23,4.25,-36.95833333,0,0,0,0,0,0
13,null,45,0,-29.56666667,0,0,0,0,0,0
13,null,47,4.25,-29.56666667,0,0,0,0,0,0
14,null,23,4.25,-36.95833333,0,0,0,0,0,0
14,null,27,8.5,-36.95833333,0,0,0,0,0,0
14,null,47,4.25,-29.56666667,0,0,0,0,0,0
14,null,49,8.5,-29.56666667,0,0,0,0,0,0
15,null,27,8.5,-36.95833333,0,0,0,0,0,0
15,null,31,12.75,-36.95833333,0,0,0,0,0,0
15,null,49,8.5,-29.56666667,0,0,0,0,0,0
15,null,51,12.75,-29.56666667,0,0,0,0,0,0
16,null,31,12.75,-36.95833333,0,0,0,0,0,0
16,null,35,17,-36.95833333,-0.1724013137,-0.1515398448,0,0,0,0
16,null,51,12.75,-29.56666667,0,0,0,0,0,0
16,null,53,17,-29.56666667,-0.2102652208,-0.1609104449,0,0,0,0
17,null,37,-17,-29.56666667,0.1960928746,0.04539781945,0,0,0,0
17,null,39,-12.75,-29.56666667,0,0,0,0,0,0
17,null,55,-17,-22.175,0.2322542948,0.08288324338,0,0,0,0
17,null,57,-12.75,-22.175,0,0,0,0,0,0
18,null,39,-12.75,-29.56666667,0,0,0,0,0,0
18,null,41,-8.5,-29.56666667,0,0,0,0,0,0
18,null,57,-12.75,-22.175,0,0,0,0,0,0
18,null,59,-8.5,-22.175,0,0,0,0,0,0
19,null,41,-8.5,-29.56666667,0,0,0,0,0,0
19,null,43,-4.25,-29.56666667,0,0,0,0,0,0
19,null,59,-8.5,-22.175,0,0,0,0,0,0
19,null,61,-4.25,-22.175,0,0,0,0,0,0
20,null,43,-4.25,-29.56666667,0,0,0,0,0,0
20,null,45,0,-29.56666667,0,0,0,0,0,0
20,null,61,-4.25,-22.175,0,0,0,0,0,0
20,null,63,0,-22.175,0,0,0,0,0,0
21,null,45,0,-29.56666667,0,0,0,0,0,0
21,null,47,4.25,-29.56666667,0,0,0,0,0,0
21,null,63,0,-22.175,0,0,0,0,0,0
21,null,65,4.25,-22.175,0,0,0,0,0,0
22,null,47,4.25,-29.56666667,0,0,0,0,0,0
22,null,49,8.5,-29.56666667,0,0,0,0,0,0
22,null,65,4.25,-22.175,0,0,0,0,0,0
22,null,67,8.5,-22.175,0,0,0,0,0,0
23,null,49,8.5,-29.56666667,0,0,0,0,0,0
23,null,51,12.75,-29.56666667,0,0,0,0,0,0
23,null,67,8.5,-22.175,0,0,0,0,0,0
23,null,69,12.75,-22.175,0,0,0,0,0,0
24,null,51,12.75,-29.56666667,0,0,0,0,0,0
24,null,53,17,-29.56666667,-0.2102652208,-0.1609104449,0,0,0,0
24,null,69,12.75,-22.175,0,0,0,0,0,0
24,null,71,17,-22.175,-0.2421056049,-0.1671891747,0,0,0,0
25,null,55,-17,-22.175,0.2322542948,0.08288324338,0,0,0,0
25,null,57,-12.75,-22.175,0,0,0,0,0,0
25,null,73,-17,-14.78333333,0.252411898,0.1168079082,0,0,0,0
25,null,75,-12.75,-14.78333333,0,0,0,0,0,0
26,null,57,-12.75,-22.175,0,0,0,0,0,0
26,null,59,-8.5,-22.175,0,0,0,0,0,0
26,null,75,-12.75,-14.78333333,0,0,0,0,0,0
26,null,77,-8.5,-14.78333333,0,0,0,0,0,0
27,null,59,-8.5,-22.175,0,0,0,0,0,0
27,null,61,-4.25,-22.175,0,0,0,0,0,0
27,null,77,-8.5,-14.78333333,0,0,0,0,0,0
27,null,79,-4.25,-14.78333333,0,0,0,0,0,0
28,null,61,-4.25,-22.175,0,0,0,0,0,0
28,null,63,0,-22.175,0,0,0,0,0,0
28,null,79,-4.25,-14.78333333,0,0,0,0,0,0
28,null,81,0,-14.78333333,0,0,0,0,0,0
29,null,63,0,-22.175,0,0,0,0,0,0
29,null,65,4.25,-22.175,0,0,0,0,0,0
