task_id,mechanism_class,data_seed,strategy,proposal_id,source_labels,formula,parameter_values,complexity,robust_validation_risk,selected_representative
XFER-CREEP-01,creep,1936607229,no_acquisition,portfolio_5e001582c80e98e7,fit_feedback_llm,M_base(x) + (c7 * x2 * (1 - exp((-(c8) * x1)))),"{""c7"": 0.22033384957962315, ""c8"": 2.392221602909961}",10,0.0019306132310509267,True
XFER-CREEP-01,creep,1936607229,no_acquisition,portfolio_06974aeaec0e164f,pysr,M_base(x) + (x2 * tanh(((x1 * (pysr_coefficient_1 ^ -1)) ^ 0.841521)) * pysr_coefficient_2),"{""pysr_coefficient_1"": 0.5937013460501395, ""pysr_coefficient_2"": 0.21964967793349321}",11,0.0017939832306445391,False
XFER-CREEP-01,creep,1936607229,conditional_space_filling,portfolio_5e001582c80e98e7,fit_feedback_llm,M_base(x) + (c7 * x2 * (1 - exp((-(c8) * x1)))),"{""c7"": 0.22033384957962315, ""c8"": 2.392221602909961}",10,0.0019306132310509267,True
XFER-CREEP-01,creep,1936607229,conditional_space_filling,portfolio_06974aeaec0e164f,pysr,M_base(x) + (x2 * tanh(((x1 * (pysr_coefficient_1 ^ -1)) ^ 0.841521)) * pysr_coefficient_2),"{""pysr_coefficient_1"": 0.5937013460501395, ""pysr_coefficient_2"": 0.21964967793349321}",11,0.0017939832306445391,False
XFER-CREEP-01,creep,1936607229,evidence_guided_predictive_disagreement,portfolio_5e001582c80e98e7,fit_feedback_llm,M_base(x) + (c7 * x2 * (1 - exp((-(c8) * x1)))),"{""c7"": 0.22033384957962315, ""c8"": 2.392221602909961}",10,0.0019306132310509267,True
XFER-CREEP-01,creep,1936607229,evidence_guided_predictive_disagreement,portfolio_06974aeaec0e164f,pysr,M_base(x) + (x2 * tanh(((x1 * (pysr_coefficient_1 ^ -1)) ^ 0.841521)) * pysr_coefficient_2),"{""pysr_coefficient_1"": 0.5937013460501395, ""pysr_coefficient_2"": 0.21964967793349321}",11,0.0017939832306445391,False
XFER-PERM-01,permeability,1936607229,no_acquisition,portfolio_c1f71f1dc5d1b411,fit_feedback_llm,M_base(x) * (1 / (1 + (p0 * x1) + (p1 * (x1 ^ 2)))),"{""p0"": 0.344889440088116, ""p1"": -0.02353632195627883}",12,0.005604802473820857,True
XFER-PERM-01,permeability,1936607229,no_acquisition,portfolio_df4732599cf83408,fit_feedback_llm,M_base(x) + (p0 * tanh(((p1 * x1) + (p2 * (x1 ^ 2))))),"{""p0"": 0.3394643246188232, ""p1"": -0.9065470471481165, ""p2"": 0.1537411033170291}",12,0.006028956347501959,False
XFER-PERM-01,permeability,1936607229,conditional_space_filling,portfolio_c1f71f1dc5d1b411,fit_feedback_llm,M_base(x) * (1 / (1 + (p0 * x1) + (p1 * (x1 ^ 2)))),"{""p0"": 0.344889440088116, ""p1"": -0.02353632195627883}",12,0.005604802473820857,True
XFER-PERM-01,permeability,1936607229,conditional_space_filling,portfolio_df4732599cf83408,fit_feedback_llm,M_base(x) + (p0 * tanh(((p1 * x1) + (p2 * (x1 ^ 2))))),"{""p0"": 0.3394643246188232, ""p1"": -0.9065470471481165, ""p2"": 0.1537411033170291}",12,0.006028956347501959,False
XFER-PERM-01,permeability,1936607229,evidence_guided_predictive_disagreement,portfolio_c1f71f1dc5d1b411,fit_feedback_llm,M_base(x) * (1 / (1 + (p0 * x1) + (p1 * (x1 ^ 2)))),"{""p0"": 0.344889440088116, ""p1"": -0.02353632195627883}",12,0.005604802473820857,True
XFER-PERM-01,permeability,1936607229,evidence_guided_predictive_disagreement,portfolio_df4732599cf83408,fit_feedback_llm,M_base(x) + (p0 * tanh(((p1 * x1) + (p2 * (x1 ^ 2))))),"{""p0"": 0.3394643246188232, ""p1"": -0.9065470471481165, ""p2"": 0.1537411033170291}",12,0.006028956347501959,False
XFER-CYCLIC-01,cyclic_damage,1936607229,no_acquisition,portfolio_e5c76560a5eca862,pysr,M_base(x) + (x2 * x2 * x1 * tanh(x1) * pysr_coefficient_1),"{""pysr_coefficient_1"": 0.04333644841005989}",7,0.0013767519478178453,True
XFER-CYCLIC-01,cyclic_damage,1936607229,no_acquisition,portfolio_1eeecc84be4e2073,pysr,M_base(x) + (x2 * pysr_coefficient_1 * (x1 ^ 0.376385) * x1 * x2),"{""pysr_coefficient_1"": 0.03260290935643122}",8,0.0014014477942024038,False
XFER-CYCLIC-01,cyclic_damage,1936607229,conditional_space_filling,portfolio_e5c76560a5eca862,pysr,M_base(x) + (x2 * x2 * x1 * tanh(x1) * pysr_coefficient_1),"{""pysr_coefficient_1"": 0.04333644841005989}",7,0.0013767519478178453,True
XFER-CYCLIC-01,cyclic_damage,1936607229,conditional_space_filling,portfolio_1eeecc84be4e2073,pysr,M_base(x) + (x2 * pysr_coefficient_1 * (x1 ^ 0.376385) * x1 * x2),"{""pysr_coefficient_1"": 0.03260290935643122}",8,0.0014014477942024038,False
XFER-CYCLIC-01,cyclic_damage,1936607229,evidence_guided_predictive_disagreement,portfolio_e5c76560a5eca862,pysr,M_base(x) + (x2 * x2 * x1 * tanh(x1) * pysr_coefficient_1),"{""pysr_coefficient_1"": 0.04333644841005989}",7,0.0013767519478178453,True
XFER-CYCLIC-01,cyclic_damage,1936607229,evidence_guided_predictive_disagreement,portfolio_1eeecc84be4e2073,pysr,M_base(x) + (x2 * pysr_coefficient_1 * (x1 ^ 0.376385) * x1 * x2),"{""pysr_coefficient_1"": 0.03260290935643122}",8,0.0014014477942024038,False
XFER-THERMAL-01,thermal_damage,1936607229,no_acquisition,portfolio_0381c7bec88c1b5a,fit_feedback_llm+pysr,M_base(x) + (x1 * x1 * pysr_coefficient_1),"{""pysr_coefficient_1"": -0.16469994956569436}",4,0.08491438369292381,True
XFER-THERMAL-01,thermal_damage,1936607229,no_acquisition,portfolio_30995989ca7f0896,fit_feedback_llm,M_base(x) + (p6 * (x1 ^ p7)),"{""p6"": -0.1683427417510541, ""p7"": 1.7734021190846547}",5,0.08866168865058635,False
XFER-THERMAL-01,thermal_damage,1936607229,no_acquisition,portfolio_cd1483d1eff34e3c,pysr,M_base(x) + ((x1 ^ 0.77279) * pysr_coefficient_1 * x1),"{""pysr_coefficient_1"": -0.16835121730256528}",6,0.08867406053785785,False
XFER-THERMAL-01,thermal_damage,1936607229,conditional_space_filling,portfolio_0381c7bec88c1b5a,fit_feedback_llm+pysr,M_base(x) + (x1 * x1 * pysr_coefficient_1),"{""pysr_coefficient_1"": -0.16469994956569436}",4,0.08491438369292381,True
XFER-THERMAL-01,thermal_damage,1936607229,conditional_space_filling,portfolio_30995989ca7f0896,fit_feedback_llm,M_base(x) + (p6 * (x1 ^ p7)),"{""p6"": -0.1683427417510541, ""p7"": 1.7734021190846547}",5,0.08866168865058635,False
XFER-THERMAL-01,thermal_damage,1936607229,conditional_space_filling,portfolio_cd1483d1eff34e3c,pysr,M_base(x) + ((x1 ^ 0.77279) * pysr_coefficient_1 * x1),"{""pysr_coefficient_1"": -0.16835121730256528}",6,0.08867406053785785,False
XFER-THERMAL-01,thermal_damage,1936607229,evidence_guided_predictive_disagreement,portfolio_0381c7bec88c1b5a,fit_feedback_llm+pysr,M_base(x) + (x1 * x1 * pysr_coefficient_1),"{""pysr_coefficient_1"": -0.16469994956569436}",4,0.08491438369292381,True
XFER-THERMAL-01,thermal_damage,1936607229,evidence_guided_predictive_disagreement,portfolio_30995989ca7f0896,fit_feedback_llm,M_base(x) + (p6 * (x1 ^ p7)),"{""p6"": -0.1683427417510541, ""p7"": 1.7734021190846547}",5,0.08866168865058635,False
XFER-THERMAL-01,thermal_damage,1936607229,evidence_guided_predictive_disagreement,portfolio_cd1483d1eff34e3c,pysr,M_base(x) + ((x1 ^ 0.77279) * pysr_coefficient_1 * x1),"{""pysr_coefficient_1"": -0.16835121730256528}",6,0.08867406053785785,False
XFER-CREEP-01,creep,2324701358,no_acquisition,portfolio_4e1478dd7a506e78,pysr,M_base(x) + (x2 * pysr_coefficient_1 * sin(tanh(tanh(tanh((x1 ^ 0.889085)))))),"{""pysr_coefficient_1"": 0.3720565060272215}",10,0.0019920783251450628,True
XFER-CREEP-01,creep,2324701358,no_acquisition,portfolio_bae4c7290c8ec661,pysr,M_base(x) + (x2 * tanh(tanh((pysr_coefficient_1 * (((x1 + pysr_coefficient_2) ^ 1.41139) ^ -1)))) * x1),"{""pysr_coefficient_1"": 0.4599128795376053, ""pysr_coefficient_2"": 0.7675663481531052}",14,0.0020598127065944104,False
XFER-CREEP-01,creep,2324701358,conditional_space_filling,portfolio_4e1478dd7a506e78,pysr,M_base(x) + (x2 * pysr_coefficient_1 * sin(tanh(tanh(tanh((x1 ^ 0.889085)))))),"{""pysr_coefficient_1"": 0.3720565060272215}",10,0.0019920783251450628,True
