task_id,strategy,repetition,new_observation_count,fit_observation_count,committee_model_count,bic_weight_entropy_nats,selected_proposal_id,selected_formula,selected_model_weight,selected_bic,locked_rmse,behavior_recovered,exact_expression_match,recovery_threshold,data_seed
RSF-EVOL,space_filling_design,1,0,12,6,0.6732328456370208,rsf_evol_power,(p0 * (1 - (state_ratio ^ p1))),0.5995645484301467,-110.38365497285716,1.6343040535090696,False,False,0.05346451807528353,20261103
RSF-EVOL,space_filling_design,1,1,13,6,0.011667742380283936,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9984358868913391,-119.26673191194179,0.0008822830798079988,True,True,0.05346451807528353,20261103
RSF-EVOL,space_filling_design,1,2,14,6,9.809897469690541e-06,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999993570302445,-129.57219569926016,0.0012369020908693615,True,True,0.05346451807528353,20261103
RSF-EVOL,space_filling_design,1,3,15,6,1.792230100775783e-05,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999987733908317,-136.7293798286839,0.000507464637555518,True,True,0.05346451807528353,20261103
RSF-EVOL,space_filling_design,1,4,16,6,2.771545090274573e-06,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999998330983831,-146.33674432487126,0.0014738694850487074,True,True,0.05346451807528353,20261103
RSF-EVOL,space_filling_design,1,5,17,6,5.604651408426005e-15,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999999999999999,-154.04034691850111,0.0012320435072764018,True,True,0.05346451807528353,20261103
RSF-EVOL,space_filling_design,1,6,18,6,5.205833801135659e-15,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999999999999999,-160.01974171975584,0.0003132905531665887,True,True,0.05346451807528353,20261103
RSF-EVOL,space_filling_design,1,7,19,6,3.4774648694810327e-16,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),1.0,-170.02184608697513,0.00015575353569608958,True,True,0.05346451807528353,20261103
RSF-EVOL,space_filling_design,1,8,20,6,1.6732760851631128e-16,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),1.0,-177.56530738570106,0.003632665973830619,True,True,0.05346451807528353,20261103
RSF-EVOL,random_design,1,0,12,6,0.6732328456370208,rsf_evol_power,(p0 * (1 - (state_ratio ^ p1))),0.5995645484301467,-110.38365497285716,1.6343040535090696,False,False,0.05346451807528353,20261103
RSF-EVOL,random_design,1,1,13,6,0.08924017971337553,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9822271138901352,-118.95485945784588,0.003580151484624281,True,True,0.05346451807528353,20261103
RSF-EVOL,random_design,1,2,14,6,0.0015551768781123965,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.99984037342081,-128.74338594612524,0.009189096926130645,True,True,0.05346451807528353,20261103
RSF-EVOL,random_design,1,3,15,6,2.24034447858651e-05,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999984411248508,-136.49918759283696,0.008370040841943363,True,True,0.05346451807528353,20261103
RSF-EVOL,random_design,1,4,16,6,1.3778789226654486e-05,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999990748324409,-145.71418208953304,0.0040715625973332436,True,True,0.05346451807528353,20261103
RSF-EVOL,random_design,1,5,17,6,2.5283123322205344e-05,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999982246911702,-151.43026482181165,0.00047720750346648107,True,True,0.05346451807528353,20261103
RSF-EVOL,random_design,1,6,18,6,1.3412954576876091e-05,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.999999101137017,-161.37099296647517,0.0004872952825382604,True,True,0.05346451807528353,20261103
RSF-EVOL,random_design,1,7,19,6,3.271585658889026e-06,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999998008688603,-171.05438015610224,0.0011402622618983083,True,True,0.05346451807528353,20261103
RSF-EVOL,random_design,1,8,20,6,7.268806905693858e-09,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999999996821612,-181.15422457266988,0.0006450066887994049,True,True,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,0,12,6,0.6732328456370208,rsf_evol_power,(p0 * (1 - (state_ratio ^ p1))),0.5995645484301467,-110.38365497285716,1.6343040535090696,False,False,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,1,13,6,0.00019295677010714647,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999839911716295,-116.77517349890893,0.0009028476385350807,True,True,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,2,14,6,2.8168328868052798e-08,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999999986868421,-126.90069507897489,0.004402522703839588,True,True,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,3,15,6,3.643175531627445e-11,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999999999987164,-136.6343907386746,0.0064971268318046805,True,True,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,4,16,6,3.3920318863975647e-13,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999999999999898,-145.58299777852747,0.0008882659894984166,True,True,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,5,17,6,1.5712881099791575e-14,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9999999999999996,-155.79372543611007,0.0006551885428349859,True,True,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,6,18,6,1.0119839092997051e-15,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),1.0,-166.0745494698814,0.0009161143324209034,True,True,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,7,19,6,6.497469917299395e-17,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),1.0,-176.42585061642967,0.0011678692719450984,True,True,0.05346451807528353,20261103
RSF-EVOL,model_information_gain,1,8,20,6,2.0453264207111925e-17,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),1.0,-184.96528043784912,0.0014443248859959358,True,True,0.05346451807528353,20261103
RSF-EVOL,parameter_information_gain,1,0,12,6,0.6732328456370208,rsf_evol_power,(p0 * (1 - (state_ratio ^ p1))),0.5995645484301467,-110.38365497285716,1.6343040535090696,False,False,0.05346451807528353,20261103
RSF-EVOL,parameter_information_gain,1,1,13,6,0.011667742380283936,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9984358868913391,-119.26673191194179,0.0008822830798079988,True,True,0.05346451807528353,20261103
RSF-EVOL,parameter_information_gain,1,2,14,6,0.009356630053699458,rsf_evol_slip,(-1 * p0 * state_ratio * log(state_ratio)),0.9987870766972842,-129.12348424988065,0.0015099347221268532,True,True,0.05346451807528353,20261103
